	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
289	289	6.0	0.11	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
290	290	5.0	0.0693	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
291	291	3.0	0.0806	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
292	292	6.0	0.0898	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
293	293	3.0	0.0555	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
294	294	7.0	0.0822	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
295	295	3.0	0.0995	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
296	296	6.0	0.0882	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
297	297	15.0	0.0598	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
298	298	15.0	0.0598	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
299	299	17.0	0.0875	pm, 7, 5, 6, started, 8, 1, 330, 430, 630
300	300	20.0	0.1118	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002
301	301	1.0	0.0629	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
302	302	2.0	0.0595	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500
303	303	9.0	0.0629	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
304	304	4.0	0.1065	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
305	305	6.0	0.1219	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
306	306	21.0	0.1101	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped
307	307	11.0	0.0672	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
308	308	11.0	0.068	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
