	Dominant_Topic	Topic_Keywords	Num_Documents	Perc_Documents
191	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
192	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
193	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
194	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
195	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
196	20.0	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002		
197	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
198	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
199	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
200	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
201	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
202	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
203	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
204	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
205	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
206	10.0	total, day, rainfall, amount, nearby, absent, station, reading, based, 95		
207	12.0	late, early, trace, 0000”, light, 0700, observed, precipitation, data, windshield		
208	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
209	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
210	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
211	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
212	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
213	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
214	10.0	total, day, rainfall, amount, nearby, absent, station, reading, based, 95		
215	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
216	10.0	total, day, rainfall, amount, nearby, absent, station, reading, based, 95		
217	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
218	10.0	total, day, rainfall, amount, nearby, absent, station, reading, based, 95		
219	0.0	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended		
220	20.0	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002		
221	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
222	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
223	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
224	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
225	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
226	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
227	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
228	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
229	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
230	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
231	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
232	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
233	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
234	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
235	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
236	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
237	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
238	0.0	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended		
239	20.0	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002		
240	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
241	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
242	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
243	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
244	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
245	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
246	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
247	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
248	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
249	14.0	thunder, pm, rain, lightning, early, began, heard, heavier, east, observed		
250	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
251	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
252	0.0	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended		
253	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
254	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
255	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
256	14.0	thunder, pm, rain, lightning, early, began, heard, heavier, east, observed		
257	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
258	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
259	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
260	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
261	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
262	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
263	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
264	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
265	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
266	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
267	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
268	10.0	total, day, rainfall, amount, nearby, absent, station, reading, based, 95		
269	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
270	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
271	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
272	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
273	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
274	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
275	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
276	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
277	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
278	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
279	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
280	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
281	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
282	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
283	14.0	thunder, pm, rain, lightning, early, began, heard, heavier, east, observed		
284	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
285	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
286	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
287	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
288	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
289	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
290	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
291	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
292	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
293	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
294	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
295	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
296	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
297	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
298	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
299	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
300	20.0	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002		
301	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
302	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
303	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
304	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
305	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
306	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
307	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
308	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
309	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
310	20.0	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002		
311	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
312	16.0	rain, pm, heavy, 1030, accumulated, 1130, 700, 1100, 1000, 1215		
313	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
314	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
315	0.0	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended		
316	20.0	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002		
317	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
