	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
229	229	3.0	0.0604	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger
230	230	16.0	0.0641	day, warm, night, cool, smoke, 4, hour, controlled, passed, rainwet
231	231	17.0	0.0736	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
232	232	3.0	0.0659	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger
233	233	7.0	0.075	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
234	234	20.0	0.0837	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
235	235	20.0	0.075	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
236	236	17.0	0.0808	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
237	237	7.0	0.1005	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
238	238	7.0	0.0858	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
239	239	7.0	0.0902	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
240	240	7.0	0.0615	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
241	241	7.0	0.0808	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
242	242	10.0	0.0598	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
243	243	18.0	0.0617	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially
244	244	20.0	0.0635	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
245	245	10.0	0.0617	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
246	246	10.0	0.0606	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
247	247	4.0	0.0574	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
248	248	17.0	0.0544	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
249	249	10.0	0.0606	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
250	250	7.0	0.0878	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
251	251	7.0	0.0642	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
252	252	17.0	0.0617	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
253	253	12.0	0.0777	day, night, warm, humidity, lot, higher, melted, period, mixmostly, creating
254	254	17.0	0.0797	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
255	255	17.0	0.0703	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
256	256	20.0	0.1021	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
257	257	4.0	0.0585	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
258	258	10.0	0.0688	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
259	259	20.0	0.0606	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
260	260	18.0	0.0565	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially
261	261	20.0	0.0606	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
262	262	17.0	0.0656	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
263	263	10.0	0.0585	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
264	264	18.0	0.0575	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially
265	265	16.0	0.0763	day, warm, night, cool, smoke, 4, hour, controlled, passed, rainwet
266	266	10.0	0.075	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
267	267	16.0	0.0638	day, warm, night, cool, smoke, 4, hour, controlled, passed, rainwet
268	268	17.0	0.0613	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
269	269	4.0	0.0565	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
270	270	20.0	0.0585	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
271	271	2.0	0.0652	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
272	272	11.0	0.0545	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
273	273	17.0	0.0545	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
274	274	12.0	0.0928	day, night, warm, humidity, lot, higher, melted, period, mixmostly, creating
275	275	20.0	0.0724	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
276	276	19.0	0.062	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
277	277	7.0	0.1209	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
278	278	20.0	0.0743	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
279	279	10.0	0.0763	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
280	280	7.0	0.0672	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
281	281	20.0	0.0565	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
282	282	20.0	0.0638	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
283	283	10.0	0.0606	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
284	284	20.0	0.0823	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
285	285	12.0	0.0724	day, night, warm, humidity, lot, higher, melted, period, mixmostly, creating
286	286	4.0	0.0832	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
287	287	17.0	0.0638	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
288	288	17.0	0.0874	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
289	289	17.0	0.0858	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
290	290	17.0	0.0615	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
291	291	17.0	0.0736	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
292	292	16.0	0.0555	day, warm, night, cool, smoke, 4, hour, controlled, passed, rainwet
293	293	17.0	0.0545	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
294	294	20.0	0.0656	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
