	readingId	gaugeId	gaugeRevisionId	remarks	readingDate	readingHour	readingMinute	quality	rainAmount	snowDepth	snowAccumulation	createdDate	brand	model	description	gaugeType	gaugeTypeOther	lat	lng
4	1873013	593	593	Snow that didn't melt was about 0.25	2015-01-21	7	0	Good	0.030000000000000002			2006-10-28				TruChek		35.2333161912	-111.6689443588
5	1876030	679	679		2015-01-21	7	0	Good	0.01			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	1873215	595	595		2015-01-21	7	0	Snow	0.02			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1875874	680	680		2015-01-21	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1873387	587	587		2015-01-22	7	0	Snow	0.01			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877518	7647	7647		2015-01-22	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878460	553	553		2015-01-22	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1873599	653	653	sunny chilly day  chilly night	2015-01-22	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1876031	679	679		2015-01-22	7	0	Trace				2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1876264	595	595		2015-01-22	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875873	680	680		2015-01-22	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1873626	587	587		2015-01-23	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877519	7647	7647		2015-01-23	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878461	553	553		2015-01-23	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1873598	653	653	sunny cool day  cold night 	2015-01-23	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1876032	679	679		2015-01-23	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1878266	595	595		2015-01-23	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875872	680	680		2015-01-23	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1873912	587	587		2015-01-24	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877520	7647	7647		2015-01-24	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878462	553	553		2015-01-24	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1873972	653	653	some sun overcast chilly day  cold night 	2015-01-24	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1876033	679	679		2015-01-24	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1878267	595	595		2015-01-24	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875871	680	680		2015-01-24	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1874327	587	587		2015-01-25	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877521	7647	7647		2015-01-25	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878463	553	553		2015-01-25	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1874287	653	653	sunny chilly day  cold night 	2015-01-25	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1876034	679	679		2015-01-25	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1878268	595	595		2015-01-25	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875870	680	680		2015-01-25	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1874584	587	587		2015-01-26	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877522	7647	7647		2015-01-26	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878464	553	553		2015-01-26	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1874595	653	653	sunny  wind cold night 	2015-01-26	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1876035	679	679		2015-01-26	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1878269	595	595		2015-01-26	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875869	680	680		2015-01-26	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1875273	587	587		2015-01-27	7	0	Good	0.030000000000000002			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877523	7647	7647		2015-01-27	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878465	553	553		2015-01-27	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1875143	653	653	sunny warm wind rain overnight	2015-01-27	7	0	Good	0.05			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1876528	593	593		2015-01-27	7	0	Good	0.02			2006-10-28				TruChek		35.2333161912	-111.6689443588
5	1876036	679	679		2015-01-27	7	0	Good	0.04			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	1878270	595	595		2015-01-27	7	0	Good	0.02			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1875868	680	680	rain	2015-01-27	7	0	Good	0.05			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1876981	587	587		2015-01-28	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877524	7647	7647		2015-01-28	7	0	Good	0.11			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878466	553	553		2015-01-28	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1876976	653	653	some clouds  sunny windy  cold night 	2015-01-28	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1880774	679	679		2015-01-28	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1878271	595	595		2015-01-28	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1879736	680	680		2015-01-28	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1877670	587	587		2015-01-29	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877525	7647	7647		2015-01-29	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878467	553	553		2015-01-29	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1881168	8615	8615		2015-01-29	7	0	Good	0.65			2014-08-13	Stratus			TruChek		35.222056	-111.622419
4	1877685	653	653	sunny chilly day  cold night 	2015-01-29	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
5	1880775	679	679		2015-01-29	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	1878272	595	595		2015-01-29	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1879735	680	680		2015-01-29	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1878213	7647	7647		2015-01-30	7	14	Good	0.64			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
1	1878452	553	553		2015-01-30	7	0	Good	0.64			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
